Εξοδα συνδυασμός κατηγορίας και Ε3
Εξοδα συνδυασμοί κατηγοριών και Ε3
id  category    e3
2.1 category2_5 E3_581_003
2.1 category2_7 E3_882_001
2.1 category2_7 E3_883_001
3.1 category2_1 E3_102_002
3.1 category2_1 E3_102_003
3.1 category2_1 E3_102_006
3.1 category2_1 E3_313_002
3.1 category2_1 E3_313_005
3.1 category2_2 E3_202_002
3.1 category2_2 E3_202_005
3.1 category2_2 E3_302_002
3.1 category2_2 E3_302_005
3.1 category2_3 E3_585_004
3.1 category2_3 E3_585_009
3.1 category2_3 E3_585_016
3.1 category2_5 E3_585_004
3.1 category2_5 E3_585_016
3.1 category2_5 E3_586
3.1 category2_7 E3_882_002
3.1 category2_7 E3_883_002
3.2 category2_1 E3_102_001
3.2 category2_1 E3_102_003
3.2 category2_1 E3_102_006
3.2 category2_1 E3_313_001
3.2 category2_1 E3_313_005
3.2 category2_2 E3_202_001
3.2 category2_2 E3_202_005
3.2 category2_2 E3_302_001
3.2 category2_2 E3_302_005
3.2 category2_3 E3_585_001
3.2 category2_3 E3_585_002
3.2 category2_3 E3_585_004
3.2 category2_3 E3_585_005
3.2 category2_3 E3_585_006
3.2 category2_3 E3_585_008
3.2 category2_3 E3_585_009
3.2 category2_3 E3_585_011
3.2 category2_3 E3_585_012
3.2 category2_3 E3_585_013
3.2 category2_3 E3_585_014
3.2 category2_3 E3_585_015
3.2 category2_3 E3_585_016
3.2 category2_3 E3_586
3.2 category2_3 E3_581_003
3.2 category2_5 E3_585_001
3.2 category2_5 E3_585_002
3.2 category2_5 E3_585_004
3.2 category2_5 E3_585_005
3.2 category2_5 E3_585_006
3.2 category2_5 E3_585_008
3.2 category2_5 E3_585_009
3.2 category2_5 E3_585_011
3.2 category2_5 E3_585_012
3.2 category2_5 E3_585_013
3.2 category2_5 E3_585_014
3.2 category2_5 E3_585_015
3.2 category2_5 E3_585_016
3.2 category2_5 E3_586
3.2 category2_5 E3_882_001
3.2 category2_5 E3_883_001
3.2 category2_5 E3_102_004
3.2 category2_5 E3_102_005
3.2 category2_5 E3_202_003
3.2 category2_5 E3_202_004
3.2 category2_5 E3_302_003
